Time,Voltage
0,12.63
0.04,12.49
0.07,12.51
0.1,12.33
0.14,12.45
0.17,12.49
0.2,12.49
0.24,12.35
0.27,12.51
0.3,12.51
0.34,12.51
0.37,12.49
0.4,12.43
0.44,12.51
0.47,12.51
0.5,12.51
0.54,12.49
0.57,12.53
0.61,12.53
0.64,12.51
0.67,12.51
0.71,12.51
0.74,12.49
0.77,12.45
0.81,12.45
0.84,12.53
0.87,12.47
0.91,12.49
0.94,12.43
0.97,12.49
1.01,12.41
1.04,12.49
1.07,12.47
1.11,12.39
1.14,12.49
1.18,12.49
1.21,12.45
1.24,12.49
1.28,12.45
1.31,12.43
1.34,12.47
1.38,12.45
1.41,12.33
1.44,12.49
1.48,12.39
1.51,12.39
1.54,12.47
1.58,12.39
1.61,12.33
1.64,12.43
1.68,12.45
1.71,12.43
1.74,12.49
1.78,12.45
1.81,12.39
1.85,12.47
1.88,12.41
1.91,12.45
1.95,12.33
1.98,12.43
2.01,12.47
2.05,12.43
2.08,12.45
2.11,12.49
2.15,12.35
2.18,12.45
2.21,12.45
2.25,12.31
2.28,12.43
2.32,12.35
2.35,12.43
2.38,12.43
2.42,12.43
2.45,12.43
2.48,12.43
2.52,12.41
2.55,12.41
2.58,12.41
2.62,12.31
2.65,12.43
2.68,12.41
2.72,12.43
2.75,12.35
2.78,12.39
2.82,12.45
2.85,12.41
2.88,12.43
2.92,12.39
2.95,12.31
2.99,12.39
3.02,12.41
3.05,12.35
3.09,12.43
3.12,12.31
3.15,12.41
3.19,12.41
3.22,12.29
3.25,12.33
3.29,12.29
3.32,12.27
3.35,12.39
3.39,12.35
3.42,12.25
3.45,12.35
3.49,12.31
3.52,12.31
3.56,12.27
3.59,12.41
3.62,12.29
3.66,12.35
3.69,12.29
3.72,12.35
3.76,12.33
3.79,12.27
3.82,12.29
3.86,12.31
3.89,12.33
3.92,12.25
3.96,12.31
3.99,12.31
4.02,12.29
4.06,12.35
4.09,12.31
4.13,12.31
4.16,12.29
4.19,12.31
4.23,12.35
4.26,12.29
4.29,12.27
4.33,12.29
4.36,12.33
4.39,12.29
4.43,12.31
4.46,12.27
4.49,12.25
4.53,12.29
4.56,12.31
4.59,12.25
4.63,12.33
4.66,12.29
4.69,12.25
4.73,12.27
4.76,12.29
4.8,12.27
4.83,12.23
4.86,12.27
4.9,12.29
4.93,12.15
4.96,12.23
5,12.27
5.03,12.27
5.06,12.27
5.1,12.23
5.13,12.23
5.16,12.23
5.2,12.11
5.23,12.19
5.27,12.23
5.3,12.21
5.33,12.25
5.37,12.25
5.4,12.21
5.43,12.21
5.47,12.17
5.5,12.21
5.53,12.21
5.57,12.15
5.6,12.09
5.63,12.15
5.67,12.23
5.7,12.19
5.73,12.07
5.77,12.19
5.8,12.07
5.84,12.15
5.87,12.15
5.9,12.11
5.94,12.09
5.97,12.19
6,12.03
6.04,12.21
6.07,12.15
6.1,12.15
6.14,12.09
6.17,12.07
6.2,12.07
6.24,12.21
6.27,12.03
6.3,12.11
6.34,12.15
6.37,12.19
6.41,12.03
6.44,12.15
6.47,12.15
6.51,12.15
6.54,12.17
6.57,12.09
6.61,12.15
6.64,12.19
6.67,12.15
6.71,12.15
6.74,12.15
6.77,12.09
6.81,12.05
6.84,12.01
6.87,12.15
6.91,12.09
6.94,12.11
6.97,12.03
7.01,12.09
7.04,12.11
7.08,12.11
7.11,12.01
7.14,12.01
7.18,12.11
7.21,12.15
7.24,12.03
7.28,12.05
7.31,12.17
7.34,12.11
7.38,12.15
7.41,11.97
7.44,12.05
7.48,12.09
7.51,12.01
7.54,12.09
7.58,12.03
7.61,11.99
7.65,11.99
7.68,11.91
7.71,12.03
7.75,11.99
7.78,11.97
7.81,11.95
7.85,12.03
7.88,12.05
7.92,12.09
7.95,11.97
7.98,12.07
8.02,12.07
8.05,11.91
8.08,12.01
8.12,12.01
8.15,11.91
8.18,12.05
8.22,11.99
8.25,11.91
8.28,11.99
8.32,11.95
8.35,11.99
8.38,11.97
8.42,12.05
8.45,11.97
8.48,12.03
8.52,11.93
8.55,12.01
8.59,12.01
8.62,11.95
8.65,12.07
8.69,11.99
8.72,11.91
8.75,11.95
8.79,11.86
8.82,11.84
8.85,11.95
8.89,11.93
8.92,11.86
8.95,12.01
8.99,12.03
9.02,11.84
9.05,11.97
9.09,11.97
9.12,11.93
9.16,11.99
9.19,11.97
9.22,11.93
9.26,11.82
9.29,11.86
9.32,11.95
9.36,11.97
9.39,11.91
9.42,11.86
9.46,11.91
9.49,11.91
9.52,11.95
9.56,11.86
9.59,11.82
9.62,11.91
9.66,11.84
9.69,11.91
9.73,11.91
9.76,11.95
9.79,11.8
9.83,11.78
9.86,11.93
9.89,11.78
9.93,11.82
9.96,11.91
9.99,11.95
10.03,11.86
10.06,11.91
10.09,11.91
10.13,11.86
10.16,11.76
10.19,11.76
10.23,11.91
10.26,11.84
10.3,11.93
10.33,11.74
10.36,11.82
10.4,11.84
10.43,11.72
10.46,11.86
10.5,11.91
10.53,11.78
10.56,11.78
10.6,11.91
10.63,11.8
10.66,11.93
10.7,11.84
10.73,11.86
10.76,11.8
10.8,11.86
10.83,11.84
10.86,11.76
10.9,11.86
10.93,11.7
10.97,11.74
11,11.7
11.03,11.82
11.07,11.8
11.1,11.82
11.13,11.76
11.17,11.76
11.2,11.72
11.23,11.78
11.27,11.78
11.3,11.72
11.33,11.78
11.37,11.76
11.4,11.76
11.43,11.78
11.47,11.76
11.5,11.68
11.54,11.78
11.57,11.72
11.6,11.72
11.64,11.7
11.67,11.74
11.7,11.68
