Time,Voltage
0.07,12.49
0.1,12.59
0.14,12.7
0.17,12.63
0.2,12.67
0.24,12.67
0.27,12.57
0.3,12.63
0.34,12.63
0.37,12.57
0.4,12.59
0.44,12.55
0.47,12.65
0.5,12.55
0.54,12.55
0.57,12.57
0.61,12.57
0.64,12.51
0.67,12.65
0.71,12.55
0.74,12.65
0.77,12.65
0.81,12.67
0.84,12.53
0.87,12.51
0.91,12.65
0.94,12.57
0.97,12.59
1.01,12.59
1.04,12.59
1.07,12.45
1.11,12.47
1.14,12.45
1.17,12.57
1.21,12.47
1.24,12.45
1.28,12.74
1.31,12.49
1.34,12.49
1.38,12.53
1.41,12.49
1.44,12.47
1.48,12.41
1.51,12.45
1.54,12.43
1.58,12.41
1.61,12.43
1.64,12.41
1.68,12.49
1.71,12.45
1.74,12.43
1.78,12.45
1.81,12.45
1.84,12.45
1.88,12.41
1.91,12.47
1.95,12.35
1.98,12.39
2.01,12.39
2.05,12.35
2.08,12.33
2.11,12.43
2.15,12.45
2.18,12.41
2.21,12.47
2.25,12.45
2.28,12.31
2.31,12.43
2.35,12.27
2.38,12.29
2.41,12.25
2.45,12.25
2.48,12.27
2.51,12.29
2.55,12.29
2.58,12.29
2.62,12.27
2.65,12.21
2.68,12.27
2.72,12.35
2.75,12.21
2.78,12.27
2.82,12.21
2.85,12.29
2.88,12.21
2.92,12.23
2.95,12.17
2.98,12.17
3.02,12.29
3.05,12.17
3.08,12.25
3.12,12.25
3.15,12.17
3.19,12.15
3.22,12.11
3.25,12.17
3.29,12.11
3.32,12.15
3.35,12.21
3.39,12.15
3.42,12.09
3.45,12.11
3.49,12.07
3.52,12.05
3.56,12.05
3.59,12.05
3.62,12.07
3.66,12.09
3.69,12.01
3.72,12.05
3.76,12.09
3.79,12.03
3.82,12.07
3.86,12.05
3.89,12.01
3.92,11.99
3.96,11.95
3.99,12.03
4.02,11.97
4.06,12.07
4.09,12.05
4.13,11.99
4.16,11.99
4.19,11.95
4.23,11.93
4.26,11.97
4.29,11.91
4.33,11.99
4.36,12.01
4.39,11.99
4.43,11.95
4.46,11.97
4.49,12.01
4.53,11.86
4.56,11.97
4.59,11.86
4.63,11.91
4.66,11.82
4.69,11.82
4.73,11.93
4.76,11.8
4.8,11.95
4.83,11.91
4.86,11.84
4.9,11.84
4.93,11.84
4.96,11.93
5,11.93
5.03,11.76
5.06,11.76
5.1,11.84
5.13,11.72
5.16,11.82
5.2,11.72
5.23,11.8
5.27,11.74
5.3,11.8
5.33,11.66
5.37,11.78
5.4,11.74
5.43,11.76
5.47,11.7
5.5,11.76
5.53,11.7
5.57,11.7
5.6,11.68
5.63,11.68
5.67,11.62
5.7,11.68
5.73,11.66
5.77,11.62
5.8,11.5
5.83,11.66
5.87,11.58
5.9,11.58
5.94,11.56
5.97,11.58
6,11.48
6.04,11.42
6.07,11.52
6.1,11.48
6.14,11.52
6.17,11.52
6.2,11.42
6.24,11.5
6.27,11.36
6.3,11.38
6.34,11.46
6.37,11.44
6.4,11.32
6.44,11.38
6.47,11.38
6.51,11.28
6.54,11.38
6.57,11.36
6.61,11.32
6.64,11.26
6.67,11.26
6.71,11.22
6.74,11.22
6.77,11.24
6.81,11.2
6.84,11.22
6.87,11.1
6.91,11.08
6.94,11.2
6.98,11.06
7.01,11.01
7.04,10.99
7.08,10.99
7.11,11.03
7.14,10.93
7.18,10.87
7.21,10.81
7.24,10.79
7.28,10.81
7.31,10.73
7.34,10.69
7.38,10.45
